"target_stim","lik","var","mean"
"dishonest",41,0.51,386
"untruthful",43,0.43,380
"unkind",66,0.71,378
"insulting",69,0.86,370
"spiteful",72,0.61,338
"greedy",72,0.61,374
"heartless",78,0.92,350
"vulgar",79,1.1,354
"narrow-minded",80,0.58,374
"selfish",82,0.65,384
"belligerent",86,0.79,332
"offensive",88,0.83,362
"dislikable",90,0.78,340
"ultra-critical",90,0.98,348
"self-centered",96,1.13,380
"snobbish",96,0.87,356
"unkindly",96,0.64,356
"unethical",97,0.9,342
"distrustful",99,1.24,378
"abusive",100,0.83,330
"humorless",101,0.82,362
"quarrelsome",101,0.72,370
"unreliable",104,0.93,386
"jealous",104,0.77,372
"unpleasant",104,0.81,372
"irresponsible",106,1.17,372
"ungrateful",109,0.71,370
"superficial",109,0.95,330
"childish",109,0.81,360
"incompetent",110,0.68,364
"unsportsmanlike",113,0.72,356
"cold",113,0.94,360
"uncivil",116,0.96,300
"meddlesome",116,0.62,344
"irritating",118,0.67,372
"petty",118,0.73,336
"hypochondriac",118,0.88,356
"unappealing",119,1.04,332
"maladjusted",123,1.07,314
"lazy",126,0.88,380
"unappreciative",126,0.84,372
"vain",127,0.99,350
"irrational",130,0.7,354
"disagreeable",134,0.67,372
"touchy",134,0.83,362
"helpless",136,1.12,358
"troublesome",140,0.73,364
"ungracious",140,0.71,344
"careless",140,0.91,374
"foolish",140,0.83,348
"scornful",145,0.88,350
"uninteresting",146,0.78,372
"misfit",147,1.28,322
"messy",147,0.78,370
"hot-tempered",152,1.06,366
"neurotic",152,1.34,300
"unsporting",152,0.8,334
"showy",153,0.92,354
"foolhardy",154,1,330
"immature",154,0.88,352
"weak",155,1.02,338
"sly",156,1.58,346
"hot-headed",158,1.09,362
"neglectful",159,0.59,356
"short-tempered",159,0.85,376
"fickle",159,1.13,330
"inattentive",162,1.13,356
"overconfident",162,0.88,376
"boisterous",163,1.1,352
"suspicious",163,0.88,362
"depressed",166,1.01,370
"domineering",167,1.52,382
"unintelligent",168,1.07,364
"listless",169,0.72,332
"noisy",173,0.88,378
"unaccommodating",174,0.68,312
"uncongenial",175,0.69,304
"untidy",175,0.92,386
"unwise",180,0.79,358
"unenterprising",180,0.81,320
"unintellectual",180,1.17,332
"moody",182,1.36,370
"noninquisitive",184,0.9,358
"inaccurate",185,0.59,318
"rash",186,0.59,342
"illogical",186,0.97,354
