volume,scale_factor,time,time_plus_1.2,cen,dmn,stage,cen_cumulative_hits,dmn_cumulative_hits,pda_outlier,ball_y_position,top_circle_y_position,bottom_circle_y_position
0,25,2.080087900045328,3.2800955999875443,0.0,0.0,baseline,0,0,nan,nan,nan,nan
1,25,2.908902900060639,4.108910199999809,0.0,0.0,baseline,0,0,nan,nan,nan,nan
2,25,4.101726200082339,5.301740900077857,0.128799,0.149944,baseline,0,0,nan,nan,nan,nan
3,25,5.2944685000693426,6.494478500029072,0.190191,0.084846,baseline,0,0,nan,nan,nan,nan
4,25,6.495905400021002,7.695916199986823,0.110127,0.03152,baseline,0,0,nan,nan,nan,nan
5,25,7.73473600007128,8.934743700013495,-0.075081,0.057676,baseline,0,0,nan,nan,nan,nan
6,25,8.96877899998799,10.168789200065657,-0.360806,-0.239596,baseline,0,0,nan,nan,nan,nan
7,25,10.162006200058386,11.362016300018876,-0.124649,-0.208775,baseline,0,0,nan,nan,nan,nan
8,25,11.317007199977525,12.51701450003311,0.097802,-0.182815,baseline,0,0,nan,nan,nan,nan
9,25,12.546235300018452,13.746242600074037,-0.038669,-0.250577,baseline,0,0,nan,nan,nan,nan
10,25,13.720092299976386,14.920100800041109,0.013656,-0.112242,baseline,0,0,nan,nan,nan,nan
11,25,14.915035500074737,16.115046300040557,0.064753,0.047263,baseline,0,0,nan,nan,nan,nan
12,25,16.119013000046834,17.319020499987527,0.074528,0.125525,baseline,0,0,nan,nan,nan,nan
13,25,17.30352600000333,18.503534800070337,0.045753,0.086901,baseline,0,0,nan,nan,nan,nan
14,25,18.534351099980995,19.734358800039626,0.096217,-0.201639,baseline,0,0,nan,nan,nan,nan
15,25,19.685546200023964,20.885553400078788,0.260021,-0.226302,baseline,0,0,nan,nan,nan,nan
16,25,20.952374799991958,22.152382100047543,0.278839,-0.252103,baseline,0,0,nan,nan,nan,nan
17,25,22.09452380007133,23.294531000009737,0.362632,-0.114218,baseline,0,0,nan,nan,nan,nan
18,25,23.357838100055233,24.557845599995925,0.463668,0.203015,baseline,0,0,nan,nan,nan,nan
19,25,24.511354500078596,25.71135789998807,0.61322,0.519621,baseline,0,0,nan,nan,nan,nan
20,25,25.74880459997803,26.948811800032853,0.633479,0.66818,baseline,0,0,nan,nan,nan,nan
21,25,26.912859300035052,28.112866999977268,0.583171,0.581586,baseline,0,0,nan,nan,nan,nan
22,25,28.111706100055017,29.311713399994186,0.493971,0.326926,baseline,0,0,nan,nan,nan,nan
23,25,29.31059180002194,30.510599300079047,0.460999,0.293796,baseline,0,0,nan,nan,nan,nan
24,25,30.50581600004807,31.705819900077767,0.411524,0.302455,feedback,0,0,False,0.0,0.33333333333333326,-0.33333333333333326
25,25,31.722551900078543,32.922555599990304,0.404987,0.352527,feedback,0,0,False,0.013273859766584104,0.33333333333333326,-0.33333333333333326
26,25,32.913724999991246,34.11372860001866,0.377252,0.528897,feedback,0,0,False,0.01929349361585513,0.33333333333333326,-0.33333333333333326
27,25,34.1146643999964,35.314668100024576,0.292591,0.454007,feedback,0,0,False,0.0024199645765139474,0.33333333333333326,-0.33333333333333326
28,25,35.315480799996294,36.51548440002371,0.432373,0.551423,feedback,0,0,False,-0.01610205634254697,0.33333333333333326,-0.33333333333333326
29,25,36.49863990000449,37.69864360003267,0.482214,0.443435,feedback,0,0,False,-0.03017665975276109,0.33333333333333326,-0.33333333333333326
30,25,37.770457400009036,38.97046070003417,0.53893,0.383589,feedback,0,0,False,-0.025457197688486585,0.33333333333333326,-0.33333333333333326
31,25,38.912965500028804,40.11296910005622,0.470772,0.189474,feedback,0,0,False,-0.007632265515790934,0.33333333333333326,-0.33333333333333326
32,25,40.0810318000149,41.281035500043075,0.367353,0.106411,feedback,0,0,False,0.022689618885888666,0.33333333333333326,-0.33333333333333326
33,25,41.33500730001833,42.53501100004651,0.29882,0.225519,feedback,0,0,False,0.05353930526193307,0.33333333333333326,-0.33333333333333326
34,25,42.530688300030306,43.7306917000562,0.278972,0.280823,feedback,0,0,False,0.06246014614935638,0.33333333333333326,-0.33333333333333326
35,25,43.731208899989724,44.93121270001866,0.231013,0.23935,feedback,0,0,False,0.06224774923256262,0.33333333333333326,-0.33333333333333326
36,25,44.93071690003853,46.13072060006671,0.396303,0.172997,feedback,0,0,False,0.06132009179841717,0.33333333333333326,-0.33333333333333326
37,25,46.115556700038724,47.315561400074515,0.477031,0.142279,feedback,0,0,False,0.08772028826310625,0.33333333333333326,-0.33333333333333326
38,25,47.319529699976556,48.51953340000473,0.352761,-0.152302,feedback,0,0,False,0.1261321157566476,0.33333333333333326,-0.33333333333333326
39,25,48.48945580003783,49.68945950006601,0.308454,-0.021676,feedback,0,0,False,0.18408663979047094,0.33333333333333326,-0.33333333333333326
40,25,49.73291550006252,50.932919200090694,0.297524,0.175084,feedback,0,0,False,0.21967225965810797,0.33333333333333326,-0.33333333333333326
41,25,50.93076140002813,52.13076500005555,0.313361,0.093733,feedback,0,0,False,0.23329615029464057,0.33333333333333326,-0.33333333333333326
42,25,52.09725430002436,53.297257900051775,0.399837,0.13386,feedback,0,0,False,0.25544308137539673,0.33333333333333326,-0.33333333333333326
43,25,53.35166410007514,54.55166769998614,0.496256,0.248307,feedback,0,0,False,0.2868880271228844,0.33333333333333326,-0.33333333333333326
44,25,54.53653160005342,55.736535100080076,0.354238,0.119483,feedback,0,0,False,0.3144772958213282,0.33333333333333326,-0.33333333333333326
45,25,55.71554370003287,56.915547500061805,0.303283,0.118899,feedback,1,0,False,0.0,0.36666666666666664,-0.33333333333333326
46,25,56.95146960008424,58.151472999993715,0.25315,0.068846,feedback,1,0,False,0.023080944809842848,0.36666666666666664,-0.33333333333333326
47,25,58.11349690007046,59.31350069998298,0.232213,0.106819,feedback,1,0,False,0.04294757942070801,0.36666666666666664,-0.33333333333333326
48,25,59.297151800012216,60.49715540003963,0.381524,0.26147,feedback,1,0,False,0.056900161440287575,0.36666666666666664,-0.33333333333333326
49,25,60.51965310005471,61.71965690008365,0.490255,0.294415,feedback,1,0,False,0.06900621196193824,0.36666666666666664,-0.33333333333333326
50,25,61.69643010001164,62.89643390004058,0.574109,0.35666,feedback,1,0,False,0.09215925968857697,0.36666666666666664,-0.33333333333333326
51,25,62.91240790009033,64.11241180000361,0.665415,0.475718,feedback,1,0,False,0.11786701640380234,0.36666666666666664,-0.33333333333333326
52,25,64.09603930008598,65.29604279999621,0.540301,0.466722,feedback,1,0,False,0.13963420058804116,0.36666666666666664,-0.33333333333333326
53,25,65.36930240003858,66.56931350000669,0.440134,0.322719,feedback,1,0,False,0.14884472231532492,0.36666666666666664,-0.33333333333333326
54,25,66.53586740000173,67.73587090002839,0.374787,0.338541,feedback,1,0,False,0.1619094815368905,0.36666666666666664,-0.33333333333333326
55,25,67.6958151999861,68.8958191000158,0.162906,0.174581,feedback,1,0,False,0.1659425715402531,0.36666666666666664,-0.33333333333333326
56,25,68.92885889997706,70.12886240000371,0.152106,0.206331,feedback,1,0,False,0.1645623027891884,0.36666666666666664,-0.33333333333333326
57,25,70.09723299997859,71.297236600006,0.158527,0.235845,feedback,1,0,False,0.15852869065454295,0.36666666666666664,-0.33333333333333326
58,25,71.33100850007031,72.53101209998131,0.19623,0.244243,feedback,1,0,False,0.1488501258614618,0.36666666666666664,-0.33333333333333326
59,25,72.51293169998098,73.71293520000764,0.281035,0.2629,feedback,1,0,False,0.14317382234584164,0.36666666666666664,-0.33333333333333326
60,25,73.7157247000141,74.91572840004228,0.112064,-0.013164,feedback,1,0,False,0.145065585071668,0.36666666666666664,-0.33333333333333326
61,25,74.93004200002179,76.13004540004768,0.229167,-0.094461,feedback,1,0,False,0.15943513725764843,0.36666666666666664,-0.33333333333333326
62,25,76.13545390008949,77.3354571999982,0.311488,-0.000798,feedback,1,0,False,0.1954452032403309,0.36666666666666664,-0.33333333333333326
63,25,77.33060700003989,78.53061070006807,0.32612,0.041839,feedback,1,0,False,0.23236499828915164,0.36666666666666664,-0.33333333333333326
64,25,78.5528689000057,79.75287250003312,0.558721,0.297178,feedback,1,0,False,0.2639969262052254,0.36666666666666664,-0.33333333333333326
65,25,79.74531210004352,80.94531560007017,0.547433,0.352733,feedback,1,0,False,0.2949176653880691,0.36666666666666664,-0.33333333333333326
66,25,80.89825219998602,82.09825580001343,0.48893,0.255546,feedback,1,0,False,0.3159049134062096,0.36666666666666664,-0.33333333333333326
67,25,82.13478550000582,83.33478900003247,0.421439,0.046373,feedback,1,0,False,0.34349657440822123,0.36666666666666664,-0.33333333333333326
