volume,scale_factor,time,time_plus_1.2,cen,dmn,stage,cen_cumulative_hits,dmn_cumulative_hits,ball_y_position,top_circle_y_position,bottom_circle_y_position
0,25,1.7041872999998304,2.904197499999282,0.0,0.0,baseline,0,0,nan,nan,nan
1,25,2.7613513999986026,3.961363099998562,0.0,0.0,baseline,0,0,nan,nan,nan
2,25,3.9877079999987473,5.187715699999171,0.006008,0.058855,baseline,0,0,nan,nan,nan
3,25,5.1462547999999515,6.346266799998557,0.049929,0.053883,baseline,0,0,nan,nan,nan
4,25,6.371310799999264,7.571318099998462,0.063538,-0.013799,baseline,0,0,nan,nan,nan
5,25,7.579895699998815,8.779903199999534,0.058702,0.032796,baseline,0,0,nan,nan,nan
6,25,8.749311799998395,9.94932329999865,0.075402,0.062566,baseline,0,0,nan,nan,nan
7,25,9.935467899998912,11.135475399999631,-0.005203,0.076947,baseline,0,0,nan,nan,nan
8,25,11.162624499998856,12.362636099999872,0.025719,0.087884,baseline,0,0,nan,nan,nan
9,25,12.38786379999874,13.587871499999164,0.049716,0.024826,baseline,0,0,nan,nan,nan
10,25,13.529147499999453,14.729154899999411,-0.00599,0.13743,baseline,0,0,nan,nan,nan
11,25,14.761063799998738,15.961075499998696,-0.102177,0.059023,baseline,0,0,nan,nan,nan
12,25,15.964709299998503,17.164721899999858,-0.146572,0.001825,baseline,0,0,nan,nan,nan
13,25,17.203514099999666,18.403521599998566,-0.128226,-0.111564,baseline,0,0,nan,nan,nan
14,25,18.369574999998804,19.569582499999523,-0.01956,-0.133237,baseline,0,0,nan,nan,nan
15,25,19.552515599998515,20.752522999998472,-0.047104,-0.142743,baseline,0,0,nan,nan,nan
16,25,20.735139499998695,21.935146999999414,-0.073527,-0.14244,baseline,0,0,nan,nan,nan
17,25,21.929966899999272,23.12997429999923,-0.008901,-0.023398,baseline,0,0,nan,nan,nan
18,25,23.127972499998577,24.32798329999896,-0.044322,-0.023607,baseline,0,0,nan,nan,nan
19,25,24.354136399999334,25.554144099999757,0.004968,0.053195,baseline,0,0,nan,nan,nan
20,25,25.54430599999978,26.744318499998553,0.00327,0.112529,baseline,0,0,nan,nan,nan
21,25,26.779261899999256,27.97927229999841,-0.011025,0.123873,baseline,0,0,nan,nan,nan
22,25,27.966695699999036,29.166703299998698,0.069757,0.111025,baseline,0,0,nan,nan,nan
23,25,29.15744779999841,30.357458299998324,0.145517,0.155814,baseline,0,0,nan,nan,nan
24,25,30.391228699998464,31.591236199999184,0.140248,0.227334,feedback,0,0,0.0,0.33333333333333326,-0.33333333333333326
25,25,31.60231389999899,32.80232129999895,0.210132,0.263751,feedback,0,0,-0.010278095097832845,0.33333333333333326,-0.33333333333333326
26,25,32.77036049999879,33.97036419999968,0.151983,0.25376,feedback,0,0,-0.016606335929317817,0.33333333333333326,-0.33333333333333326
27,25,33.95888289999857,35.158886799999166,0.152918,0.168563,feedback,0,0,-0.028971590480608055,0.33333333333333326,-0.33333333333333326
28,25,35.171338999998625,36.37134249999981,0.099498,0.038463,feedback,0,0,-0.030872357917798566,0.33333333333333326,-0.33333333333333326
29,25,36.36820449999868,37.56821349999991,0.060237,-0.027383,feedback,0,0,-0.023668863276912165,0.33333333333333326,-0.33333333333333326
30,25,37.60187119999864,38.80187529999894,-0.035637,-0.120044,feedback,0,0,-0.013023593679812045,0.33333333333333326,-0.33333333333333326
31,25,38.784206899999845,39.98421139999955,0.050749,-0.116686,feedback,0,0,-0.0033546779270093273,0.33333333333333326,-0.33333333333333326
32,25,40.009085399999094,41.2090898999988,0.001275,-0.082329,feedback,0,0,0.01640639564056344,0.33333333333333326,-0.33333333333333326
33,25,41.2091066999983,42.40911069999966,0.103364,0.011195,feedback,0,0,0.026273536886678942,0.33333333333333326,-0.33333333333333326
34,25,42.39347529999941,43.59348319999954,0.127366,0.128564,feedback,0,0,0.03715153963192112,0.33333333333333326,-0.33333333333333326
35,25,43.602614899999026,44.802619499999494,0.009594,0.212818,feedback,0,0,0.037010148846637496,0.33333333333333326,-0.33333333333333326
36,25,44.790044999999736,45.99004869999881,0.069092,0.179379,feedback,0,0,0.013025173096666353,0.33333333333333326,-0.33333333333333326
37,25,46.005011499999455,47.205018899999416,0.071816,0.230989,feedback,0,0,-0.00037399202608390616,0.33333333333333326,-0.33333333333333326
38,25,47.15688859999864,48.35689289999864,0.101427,0.28113,feedback,0,0,-0.01915996486910515,0.33333333333333326,-0.33333333333333326
39,25,48.36734859999888,49.56735249999947,0.090092,0.295628,feedback,0,0,-0.04099273001870203,0.33333333333333326,-0.33333333333333326
40,25,49.58656089999931,50.786565099998555,-0.06655,0.240142,feedback,0,0,-0.06453710747753907,0.33333333333333326,-0.33333333333333326
41,25,50.78618049999932,51.98618419999839,-0.128554,0.181671,feedback,0,0,-0.10179822392668107,0.33333333333333326,-0.33333333333333326
42,25,51.98985739999989,53.18986149999837,0.016196,-0.011928,feedback,0,0,-0.13948857727934455,0.33333333333333326,-0.33333333333333326
43,25,53.19083749999845,54.39084269999985,-0.020093,0.038964,feedback,0,0,-0.1360716911557559,0.33333333333333326,-0.33333333333333326
44,25,54.40651529999923,55.6065189999983,-0.175122,-0.197404,feedback,0,0,-0.1432467389370377,0.33333333333333326,-0.33333333333333326
