frame,direction,cen,dmn
15,cen,0.435954,0.239757
16,cen,0.414821,0.187445
17,cen,0.376699,-0.082778
18,cen,1.034049,-0.284452
19,cen,0.856518,-0.564736
20,cen,0.71252,-0.626887
21,cen,0.560352,-0.82008
22,cen,0.467233,-0.828286
23,cen,-0.51903,-0.746954
24,cen,0.487915,-0.679896
25,cen,-0.527269,-0.662169
26,cen,-0.431522,-0.524315
27,cen,-0.420089,-0.5322
28,cen,0.808417,-0.438245
29,cen,0.762012,-0.353558
30,cen,0.752565,-0.31042
31,cen,0.74575,-0.218696
32,dmn,-0.253499,-0.125425
33,dmn,-0.537765,-0.120249
34,cen,0.742353,-0.006938
35,cen,0.761472,0.215846
36,cen,0.766304,0.164136
37,cen,0.757072,0.216845
38,cen,0.763091,0.267595
39,cen,0.789244,0.268223
40,cen,0.790424,0.399987
41,cen,0.811861,0.38615
42,cen,0.774868,0.369658
43,cen,0.756959,0.205483
44,cen,0.718909,0.217672
45,cen,0.692485,0.119253
46,dmn,-0.210663,0.237218
47,cen,0.725779,0.172611
48,cen,0.690655,0.169526
49,dmn,-0.253317,0.172163
50,cen,0.728395,0.144793
51,dmn,-0.145579,0.132286
52,dmn,-0.041571,0.21824
53,dmn,0.075806,0.211005
54,dmn,0.139241,0.236893
55,cen,1.203237,0.157259
56,cen,1.112572,0.065285
57,cen,1.052133,0.044825
58,cen,0.042286,-0.039389
59,cen,1.16229,0.089273
60,cen,1.118688,0.065589
61,dmn,0.051648,0.136433
62,cen,0.393868,0.135173
63,cen,1.211197,0.208843
64,dmn,0.12186,0.202962
65,cen,0.235337,0.202476
66,cen,0.316453,0.245004
67,cen,0.445054,0.262852
68,dmn,-0.282814,0.208915
69,dmn,-0.127685,0.090363
70,cen,0.842368,0.116127
71,cen,0.859543,0.061199
72,cen,0.872198,0.197978
73,cen,0.875582,0.051999
74,dmn,0.021314,0.108264
75,cen,1.012718,0.140462
76,cen,1.062342,0.110731
77,cen,1.050251,0.072413
78,cen,1.022853,-0.053479
79,cen,0.990774,-0.131325
80,cen,2.027035,-0.101114
81,cen,0.901846,0.005145
82,cen,1.985511,0.095859
83,dmn,-0.003174,0.149411
84,cen,0.951045,0.215888
85,cen,0.9525,0.232455
86,cen,0.945943,0.301649
87,cen,0.954454,0.287155
88,cen,0.959822,0.311508
89,cen,0.954296,0.272524
90,cen,0.97299,0.255076
91,cen,0.972164,0.295987
92,dmn,0.061228,0.276718
93,cen,1.009337,0.329692
94,cen,1.002732,0.212615
95,cen,2.003783,0.085516
