word,valence_condition,let,syl,freq_KF,freq_BNC,freq_TV,freq_PG,freq_BN,noun,adjective,ndim1,ndim2,ndim3,ndim4,ndim5,ndim6,ndim7,adim1,adim2,adim3,adim4,adim5,adim6,adim7,adim8,adim9,adim10,p_hit,p_fa,DP,freq_BNC_strat,valence_strat,arousal_strat,set,iter,valence_abs
fun,+,3,1,47,51.128871,253.441867,27.3455,235.490196,1,1,6.28,1.72,5.36,3.2,6.68,5.56,4.96,6.25,2.28,5.43,4.79,5.89,5.72,3.39,6.74,6.6,3.41,0.48,0.16,0.944304,3,2,1,1,15,2.25
happy,+,5,2,103,117.182817,437.738329,162.105,333.196078,0,1,-99,-99,-99,-99,-99,-99,-99,6.27,1.95,5.55,4.83,7,5.8,5.41,6.34,6.54,5.24,-99,-99,-99,3,2,1,1,15,2.27
friendly,+,8,2,61,40.749251,22.283989,48.021,26.039216,0,1,-99,-99,-99,-99,-99,-99,-99,6.42,2,5.22,5.53,6.79,4.62,4.06,5.6,5.47,5.19,-99,-99,-99,3,2,1,1,15,2.42
nice,+,4,1,79,131.718282,557.099727,57.0384,649.509804,0,1,-99,-99,-99,-99,-99,-99,-99,6.01,1.84,6.17,4.73,6.42,4.25,4.33,6.2,6.96,5.04,-99,-99,-99,3,2,1,1,15,2.01
generous,+,8,3,25,23.186813,21.359768,38.3011,16.705882,0,1,-99,-99,-99,-99,-99,-99,-99,6.04,1.99,5.31,3.31,5.68,4.26,4.26,5.64,5.4,4.58,-99,-99,-99,3,2,1,1,15,2.04
brilliant,+,9,2,50,34.945055,35.120388,45.7995,35.803922,0,1,-99,-99,-99,-99,-99,-99,-99,6.5,2.88,5.63,3.72,6.47,4.06,2.93,5.29,6.23,5.22,-99,-99,-99,3,2,2,1,15,2.5
outstanding,+,11,3,37,30.06993,5.13456,2.01027,7.45098,0,1,-99,-99,-99,-99,-99,-99,-99,6.25,3.19,5.06,2.99,6.84,3.75,4.42,6.16,6.66,4.6,-99,-99,-99,3,2,2,1,15,2.25
understanding,+,13,4,120,94.955045,28.274309,51.7133,21.901961,0,1,-99,-99,-99,-99,-99,-99,-99,5.97,2.7,5.28,5.15,6.62,6.02,4.12,6.57,6.58,4.21,-99,-99,-99,3,2,2,1,15,1.97
honest,+,6,2,49,29.57043,104.847709,67.0882,72.333333,0,1,-99,-99,-99,-99,-99,-99,-99,6.27,2.58,5.87,5.11,7,4.58,4.01,6.2,6.03,5.81,-99,-99,-99,3,2,2,1,15,2.27
strong,+,6,1,203,161.078921,105.703469,200.224,86.862745,0,1,-99,-99,-99,-99,-99,-99,-99,6.44,4.62,5.9,4.13,6.92,6.73,3.84,5.77,6.43,5.12,-99,-99,-99,3,2,2,1,15,2.44
devoted,+,7,3,51,25.284715,9.173747,43.0717,8.019608,0,1,-99,-99,-99,-99,-99,-99,-99,5.63,2.68,5.99,4.79,6.04,3.93,5.06,6.07,5.59,5.52,-99,-99,-99,3,1,2,1,15,1.63
moral,+,5,2,142,53.896104,13.384086,75.2535,13.509804,1,1,5.37,3.12,3.7,2.79,5.83,5.08,5,5.2,4.25,4.11,4.36,6.33,4.95,4.18,5.77,5.48,5.35,0.606061,0.045455,1.959688,3,1,2,1,15,1.2
composed,+,8,2,40,20.45954,1.437677,43.9823,1.901961,0,1,-99,-99,-99,-99,-99,-99,-99,5.6,2.85,4.03,4.77,5.39,3.44,3.51,5.85,6.02,5.81,-99,-99,-99,3,1,2,1,15,1.6
efficient,+,9,3,33,39.98002,3.970726,10.2665,4.960784,0,1,-99,-99,-99,-99,-99,-99,-99,5.53,2.78,5.47,5.17,6.47,5.42,3.31,5.57,6,4.91,-99,-99,-99,3,1,2,1,15,1.53
organized,+,9,3,57,24.795205,9.379129,22.2221,10.176471,0,1,-99,-99,-99,-99,-99,-99,-99,5.72,3.12,6.2,5.46,5.99,5.22,3.66,5.52,6.29,5.46,-99,-99,-99,3,1,2,1,15,1.72
clever,+,6,2,17,23.546454,18.518645,32.1145,27.27451,0,1,-99,-99,-99,-99,-99,-99,-99,5.92,2.37,5.1,3.74,6.89,4.96,3.33,6.16,6.33,4.21,-99,-99,-99,3,1,1,1,15,1.92
helpful,+,7,2,29,31.708292,13.384086,4.98968,12.137255,0,1,-99,-99,-99,-99,-99,-99,-99,5.73,2.17,5.34,5.36,6.27,5.28,4.51,6.5,6.93,4.73,-99,-99,-99,3,1,1,1,15,1.73
gentle,+,6,2,27,28.861139,11.501414,62.8564,16.54902,0,1,-99,-99,-99,-99,-99,-99,-99,5.87,2.03,5.65,5.42,6.32,3.81,4.16,5.87,5.72,4.23,-99,-99,-99,3,1,1,1,15,1.87
warm,+,4,1,70,70.26973,53.29673,77.2202,52.137255,0,1,-99,-99,-99,-99,-99,-99,-99,5.85,2.62,5.64,4.77,6.03,4.14,3.4,6.3,6.59,4.61,-99,-99,-99,3,1,1,1,15,1.85
lucky,+,5,2,21,41.098901,192.751371,15.8345,143.45098,0,1,-99,-99,-99,-99,-99,-99,-99,5.86,2.29,5.51,3.8,6.77,5.94,4.03,4.82,6.23,2.52,-99,-99,-99,3,1,1,1,15,1.86
mighty,+,6,2,30,10.28971,13.041782,73.3136,26.568627,0,1,-99,-99,-99,-99,-99,-99,-99,5.47,2.84,5.15,4.19,6.5,3.21,2.61,4.71,5.04,6.09,-99,-99,-99,2,1,2,1,15,1.47
entertaining,+,12,4,12,10.01998,5.442633,-99,5.647059,0,1,-99,-99,-99,-99,-99,-99,-99,5.27,3.13,5.75,4.91,6.64,4.09,3.51,6.75,6.32,4.54,-99,-99,-99,2,1,2,1,15,1.27
intelligent,+,11,4,26,18.931069,10.577193,26.5354,13.509804,0,1,-99,-99,-99,-99,-99,-99,-99,5.76,3.14,6.4,3.53,6.12,6.15,4.13,6.34,6.81,5.45,-99,-99,-99,2,1,2,1,15,1.76
skilled,+,7,1,32,18.111888,1.985363,8.26498,2.372549,0,1,-99,-99,-99,-99,-99,-99,-99,5.6,2.94,4.95,5.44,5.25,4.88,3.4,5.47,6.24,4.77,-99,-99,-99,2,1,2,1,15,1.6
