"","word","freq_BNC","valence","researcher_remove","condition"
"1","good-natured",1.338661,6.52,NA,"+"
"2","self-confident",0.939061,6.31,NA,"+"
"3","down-to-earth",1.428571,5.9,NA,"+"
"4","proficient",1.288711,5.53,NA,"+"
"5","self-discipline",1.208791,5.48,NA,"+"
"6","comical",1.398601,5.42,NA,"+"
"7","dependable",1.358641,5.36,NA,"+"
"8","diligent",1.438561,5.32,NA,"+"
"9","resourceful",1.328671,5.3,NA,"+"
"10","observant",1.348651,5.24,NA,"+"
"11","selfless",1.018981,5.17,NA,"+"
"12","inquisitive",1.728272,5.05,NA,"+"
"13","spontaneous",10.27972,4.99,NA,"+"
"14","poised",6.803197,4.99,NA,"+"
"15","tactful",1.788212,4.99,NA,"+"
"16","realistic",18.581419,4.98,NA,"+"
"17","festive",4.015984,4.97,NA,"+"
"18","carefree",1.858142,4.97,NA,"+"
"19","bold",12.977023,4.89,NA,"+"
"20","ingenious",4.495504,4.83,NA,"+"
"21","harmless",6.673327,4.81,NA,"+"
"22","practical",77.532468,4.77,NA,"+"
"23","normal",124.385614,4.72,NA,"+"
"24","rational",23.406593,4.66,NA,"+"
"25","diplomatic",20,4.57,NA,"+"
"26","powerful",72.057942,4.53,NA,"+"
"27","popular",105.894106,4.39,NA,"+"
"28","theatrical",6.193806,4.37,NA,"+"
"29","conscientious",3.356643,4.02,NA,"+"
"30","unpredictable",6.793207,3.68,NA,"-"
"31","shy",11.888112,3.17,NA,"-"
"32","apathetic",0.989011,3.17,NA,"-"
"33","listless",0.789211,3.17,NA,"-"
"34","erratic",4.015984,3.16,NA,"-"
"35","clumsy",4.815185,3.1,NA,"-"
"36","gullible",1.358641,3.05,NA,"-"
"37","strict",20.669331,3.04,NA,"-"
"38","forgetful",0.859141,3.03,NA,"-"
"39","aloof",2.357642,3.02,NA,"-"
"40","self-critical",0.509491,2.99,NA,"-"
"41","hesitant",2.827173,2.91,NA,"-"
"42","compulsive",2.447552,2.91,NA,"-"
"43","timid",2.997003,2.84,NA,"-"
"44","stern",7.892108,2.78,NA,"-"
"45","superstitious",1.858142,2.73,NA,"-"
"46","stubborn",4.285714,2.71,NA,"-"
"47","messy",3.566434,2.71,NA,"-"
"48","defensive",12.867133,2.7,NA,"-"
"49","feeble",4.415584,2.61,NA,"-"
"50","self-indulgent",1.008991,2.61,NA,"-"
"51","combative",1.108891,2.6,NA,"-"
"52","aggressive",19.310689,2.58,NA,"-"
"53","suspicious",13.786214,2.58,NA,"-"
"54","mediocre",1.768232,2.57,NA,"-"
"55","materialistic",1.168831,2.54,NA,"-"
"56","egotistical",0.549451,2.53,NA,"-"
"57","indecisive",0.969031,2.49,NA,"-"
"58","childish",4.725275,2.48,NA,"-"
"59","stiff",15.584416,2.47,NA,"-"
"60","brooding",3.136863,2.46,NA,"-"
"61","fickle",1.278721,2.46,NA,"-"
"62","jealous",9.59041,2.45,NA,"-"
"63","unreasonable",9.89011,2.42,NA,"-"
"64","absent-minded",0.48951,2.42,NA,"-"
"65","disagreeable",1.888112,2.41,NA,"-"
"66","uninteresting",1.378621,2.38,NA,"-"
"67","conceited",0.579421,2.38,NA,"-"
"68","demanding",24.245754,2.37,NA,"-"
"69","bored",15.604396,2.35,NA,"-"
"70","devious",3.196803,2.35,NA,"-"
"71","disobedient",0.749251,2.34,NA,"-"
"72","unpopular",6.413586,2.33,NA,"-"
"73","argumentative",1.398601,2.33,NA,"-"
"74","foolish",11.618382,2.32,NA,"-"
"75","naive",7.702298,2.32,NA,"-"
"76","insecure",3.396603,2.32,NA,"-"
"77","untrustworthy",0.609391,2.32,NA,"-"
"78","superficial",7.652348,2.3,NA,"-"
"79","awkward",15.754246,2.29,NA,"-"
"80","disdainful",0.809191,2.29,NA,"-"
"81","boastful",0.47952,2.25,NA,"-"
"82","tactless",0.739261,2.16,NA,"-"
"83","cranky",0.4995,2.11,NA,"-"
"84","egocentric",0.609391,2.01,NA,"-"
"85","insincere",0.679321,1.74,NA,"-"
"86","snobbish",0.599401,1.71,NA,"-"
"87","narrow-minded",0.649351,1.67,NA,"-"
"88","bigoted",0.559441,1.67,NA,"-"
"89","impolite",0.559441,1.63,NA,"-"
"90","distrustful",0.47952,1.6,NA,"-"
"91","disrespectful",0.549451,1.47,NA,"-"
"92","antisocial",0.519481,1.42,NA,"-"
