"word","freq_BNC","valence","researcher_remove"
"good",807.142857,6.31,""
"social",422.167832,5.37,""
"able",303.796204,6,""
"open",302.537463,5.3,""
"kind",237.722278,6.4,""
"free",208.441558,6.02,""
"strong",161.078921,6.44,""
"nice",131.718282,6.01,""
"modern",131.668332,5.09,""
"happy",117.182817,6.27,""
"original",113.806194,5.61,""
"independent",108.421578,5.38,""
"useful",100.609391,5.11,""
"interesting",96.563437,6.49,""
"understanding",94.955045,5.97,""
"responsible",94.195804,5.66,""
"fair",92.007992,5.33,""
"dear",89.000999,5.52,""
"beautiful",86.613387,6.45,""
"positive",84.145854,6.28,""
"patient",82.237762,5.88,""
"pretty",79.55045,5.57,""
"active",72.827173,6.21,""
"warm",70.26973,5.85,""
"safe",69.6004,5.43,""
"religious",65.504496,5.16,""
"clean",65.024975,6.2,""
"equal",63.896104,5.23,""
"reasonable",62.167832,5.6,""
"perfect",57.712288,5.47,""
"experienced",55.804196,5.5,""
"bright",55.304695,5.79,""
"moral",53.896104,5.2,""
"fun",51.128871,6.25,""
"pleased",51.058941,5.54,""
"capable",49.380619,5.33,""
"loved",48.941059,6.26,""
"secure",46.243756,5.72,""
"expert",42.917083,5.27,""
"alive",42.497502,6.68,""
"lucky",41.098901,5.86,""
"friendly",40.749251,6.42,""
"glad",40.639361,5.73,""
"efficient",39.98002,5.53,""
"sweet",36.473526,5.94,""
"healthy",35.834166,5.65,""
"nearby",35.764236,5.39,""
"satisfied",35.234765,5.83,""
"brilliant",34.945055,6.5,""
"stable",34.105894,5.27,""
"pure",33.906094,6.04,""
"confident",32.387612,6.14,""
"helpful",31.708292,5.73,""
"smooth",31.628372,5.14,""
"proud",31.588412,5.12,""
"consistent",31.058941,6.02,""
"intellectual",30.22977,6.23,""
"outstanding",30.06993,6.25,""
"calm",29.63037,5.84,""
"honest",29.57043,6.27,""
"engaged",29.280719,5.38,""
"accurate",29.250749,5.39,""
"gentle",28.861139,5.87,""
"sensible",27.482517,5.23,""
"grateful",27.322677,5.4,""
"pleasant",27.052947,6.36,""
"relaxed",25.374625,6.03,""
"devoted",25.284715,5.63,""
"creative",24.895105,5.79,""
"organized",24.795205,5.72,""
"sophisticated",24.655345,6.15,""
"impressed",24.375624,5.25,""
"flexible",23.956044,5.35,""
"clever",23.546454,5.92,""
"generous",23.186813,6.04,""
"modest",22.987013,5.15,""
"reliable",22.467532,6.49,""
"assured",22.437562,6.04,""
"curious",22.027972,5.08,""
"wise",22.007992,6.02,""
"romantic",20.46953,5.69,""
"composed",20.45954,5.6,""
"educated",20.04995,6.2,""
"inspired",19.97003,5.97,""
"mature",19.170829,6.24,""
"excited",19.070929,6,""
"intelligent",18.931069,5.76,""
"smart",18.671329,5.83,""
"brave",18.221778,6.21,""
"skilled",18.111888,5.6,""
"elegant",18.071928,5.95,""
"precious",17.962038,5.06,""
"progressive",17.702298,5.91,""
"neat",17.272727,5.15,""
"tender",17.242757,5.07,""
"handsome",16.813187,5.69,""
"peaceful",16.543457,5.98,""
"artistic",15.664336,5.8,""
"ambitious",15.394605,6.09,""
"sympathetic",15.184815,5.43,""
"lively",14.705295,5.8,""
"enthusiastic",14.475524,5.46,""
"divine",14.185814,5.22,""
"charming",14.025974,5.73,""
