"","effect_sizes","power","omega2","power_uncorrected","runtime"
"1",-1.1,9723,0.249099783673792,9919,12.18575119555
"2",-1.09,9717,0.245514805618645,9906,12.18575119555
"3",-1.08,9707,0.241928643004888,9904,12.18575119555
"4",-1.07,9620,0.238341752395148,9892,12.18575119555
"5",-1.06,9612,0.234754599267378,9878,12.18575119555
"6",-1.05,9547,0.231167658020952,9833,12.18575119555
"7",-1.04,9568,0.227581411976964,9838,12.18575119555
"8",-1.03,9532,0.223996353372531,9851,12.18575119555
"9",-1.02,9434,0.220412983348912,9800,12.18575119555
"10",-1.01,9443,0.216831811933246,9802,12.18575119555
"11",-1,9379,0.213253358013715,9755,12.18575119555
"12",-0.99,9350,0.209678149307946,9747,12.18575119555
"13",-0.98,9342,0.206106722324452,9739,12.18575119555
"14",-0.97,9216,0.202539622316942,9725,12.18575119555
"15",-0.96,9232,0.198977403231287,9692,12.18575119555
"16",-0.95,9155,0.195420627644987,9675,12.18575119555
"17",-0.94,9007,0.191869866698938,9580,12.18575119555
"18",-0.93,8979,0.188325700021334,9587,12.18575119555
"19",-0.92,8910,0.184788715643532,9534,12.18575119555
"20",-0.91,8854,0.181259509907696,9525,12.18575119555
"21",-0.9,8754,0.177738687366083,9447,12.18575119555
"22",-0.89,8680,0.174226860671789,9429,12.18575119555
"23",-0.88,8650,0.170724650460819,9391,12.18575119555
"24",-0.87,8525,0.167232685225325,9334,12.18575119555
"25",-0.86,8386,0.163751601177886,9264,12.18575119555
"26",-0.85,8318,0.160282042106676,9228,12.18575119555
"27",-0.84,8206,0.156824659221433,9152,12.18575119555
"28",-0.83,8103,0.15338011099007,9112,12.18575119555
"29",-0.82,8048,0.149949062965864,9018,12.18575119555
"30",-0.81,7894,0.146532187605093,8972,12.18575119555
"31",-0.8,7729,0.143130164075059,8851,12.18575119555
"32",-0.79,7549,0.139743678052406,8759,12.18575119555
"33",-0.78,7510,0.136373421511673,8714,12.18575119555
"34",-0.77,7328,0.13302009250403,8565,12.18575119555
"35",-0.76,7242,0.129684394926157,8559,12.18575119555
"36",-0.75,7174,0.126367038279235,8462,12.18575119555
"37",-0.74,7060,0.123068737418029,8333,12.18575119555
"38",-0.73,6782,0.119790212290073,8224,12.18575119555
"39",-0.72,6820,0.116532187664957,8180,12.18575119555
"40",-0.71,6492,0.113295392853757,8022,12.18575119555
"41",-0.7,6380,0.110080561418632,7872,12.18575119555
"42",-0.69,6311,0.106888430872661,7851,12.18575119555
"43",-0.68,5994,0.103719742369989,7609,12.18575119555
"44",-0.67,5910,0.100575240386361,7536,12.18575119555
"45",-0.66,5814,0.0974556723901717,7425,12.18575119555
"46",-0.65,5605,0.0943617885041338,7272,12.18575119555
"47",-0.64,5413,0.0912943411577141,7064,12.18575119555
"48",-0.63,5352,0.0882540847304974,7007,12.18575119555
"49",-0.62,5246,0.0852417751866494,6922,12.18575119555
"50",-0.61,4977,0.082258169700676,6713,12.18575119555
"51",-0.6,4939,0.079304026274689,6656,12.18575119555
"52",-0.59,4728,0.0763801033474112,6478,12.18575119555
"53",-0.58,4611,0.0734871593951672,6361,12.18575119555
"54",-0.57,4393,0.0706259525251312,6118,12.18575119555
"55",-0.56,4220,0.0677972400611143,6024,12.18575119555
"56",-0.55,4157,0.0650017781221998,5916,12.18575119555
"57",-0.54,3955,0.0622403211945477,5747,12.18575119555
"58",-0.53,3793,0.0595136216967108,5567,12.18575119555
"59",-0.52,3625,0.0568224295388237,5378,12.18575119555
