word,let,syl,freq_KF,freq_BNC,freq_TV,freq_PG,freq_BN,noun,adjective,ndim1,ndim2,ndim3,ndim4,ndim5,ndim6,ndim7,adim1,adim2,adim3,adim4,adim5,adim6,adim7,adim8,adim9,adim10,p_hit,p_fa,DP
absent-minded,13,4,-99,0.48951,-99,-99,-99,0,1,-99,-99,-99,-99,-99,-99,-99,2.42,3.21,5.1,3.33,6.2,4.2,3.31,2.12,1.99,1.98,-99,-99,-99
abusing,7,3,-99,1.928072,1.506138,2.20805,1.196078,0,1,-99,-99,-99,-99,-99,-99,-99,1.03,6.91,6.72,4.32,6.66,4.2,5.01,1.12,1.21,3.06,-99,-99,-99
accomodating,12,4,-99,-99,-99,-99,-99,0,1,-99,-99,-99,-99,-99,-99,-99,5.16,1.89,4.46,4.63,4.79,3.46,2.9,5.14,5.79,4.12,-99,-99,-99
acorn,5,2,-99,2.367632,-99,-99,0.72549,1,0,4.39,2.31,6.76,6.28,6.68,2.73,1.81,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.88,0.068966,2.658527
apricots,8,3,-99,0.849151,-99,-99,0.27451,1,0,5,1.96,5.87,6.18,5.87,2.45,1.66,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.857143,0,3.393918
aquarium,8,4,-99,8.551449,1.779981,-99,2.764706,1,0,4.86,1.75,6.36,5.97,6.66,2.52,2.63,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.695652,0.058824,2.076663
argumentative,13,5,-99,1.398601,-99,-99,0.745098,0,1,-99,-99,-99,-99,-99,-99,-99,2.33,5.27,5.09,4.76,6.38,3.03,4.79,1.88,2.2,4.54,-99,-99,-99
baronet,7,3,-99,1.618382,-99,4.59649,0.215686,1,0,3.75,3.21,3.13,4.5,3.55,1.32,2.1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.714286,0.052632,2.185805
blase,5,1,-99,0.14985,-99,-99,0.019608,0,1,-99,-99,-99,-99,-99,-99,-99,2.56,4,2.13,3.56,3.84,1.59,2.09,2.47,2.08,3.62,-99,-99,-99
blitzkrieg,10,2,-99,-99,-99,-99,0.313725,1,0,2.57,5.05,3,3.95,3.27,2,3.5,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.882353,0,3.513179
boastful,8,2,-99,0.47952,-99,-99,0.215686,0,1,-99,-99,-99,-99,-99,-99,-99,2.25,4.5,5.96,4.89,4.91,2.99,4.37,2.02,2.34,4.15,-99,-99,-99
bossy,5,2,-99,1.168831,2.224976,-99,1.745098,0,1,-99,-99,-99,-99,-99,-99,-99,2.19,5.22,5.73,4.61,6.88,5.27,4.72,1.65,1.64,5.88,-99,-99,-99
boyfriend,9,2,-99,10.909091,88.6225,-99,72.235294,1,0,4.72,3.12,5.8,4.96,6.36,4.88,5.32,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.818182,0,3.234806
broad-minded,12,3,-99,0.25974,-99,-99,-99,0,1,-99,-99,-99,-99,-99,-99,-99,5.72,2.52,4.23,4.25,6.11,3.26,1.6,6.06,6.01,4.39,-99,-99,-99
bullheaded,10,3,-99,-99,-99,-99,0.392157,0,1,-99,-99,-99,-99,-99,-99,-99,2.23,4.82,4.76,3.17,5.69,2.15,2.7,1.82,1.42,4.29,-99,-99,-99
busybody,8,4,-99,0.37962,-99,-99,0.607843,1,0,3.12,4.78,4.75,4.31,6.06,2.87,2.84,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.7,0.041667,2.256065
castration,10,3,-99,0.859141,-99,-99,0.470588,1,0,1.9,5.23,4.3,5.38,5.4,1.86,3.42,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.83871,0,3.315517
caustic,7,2,-99,1.978022,-99,2.3196,0.137255,0,1,-99,-99,-99,-99,-99,-99,-99,2.65,4.4,3.34,3.77,4.06,3.01,3.18,2.58,1.99,3.6,-99,-99,-99
chime,5,1,-99,0.659341,-99,1.96992,0.921569,1,0,4.63,2.53,4.8,4.63,5.66,2.46,2.53,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.631579,0.111111,1.556678
cinnamon,8,3,-99,2.047952,3.902265,2.8465,2.980392,1,0,5.43,2.43,6.26,6.2,6.33,3.51,2.3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.842105,0.03125,2.86588
clean-cut,9,2,-99,0.36963,-99,-99,-99,0,1,-99,-99,-99,-99,-99,-99,-99,5.47,3.11,6.11,4.54,6.43,3.35,2.42,5.79,5.4,5.05,-99,-99,-99
clear-headed,12,3,-99,0.1998,-99,-99,-99,0,1,-99,-99,-99,-99,-99,-99,-99,5.54,1.62,6.06,4.9,6.07,3.23,3.33,6.4,6.53,4.43,-99,-99,-99
clownish,8,2,-99,0.20979,-99,-99,0.039216,0,1,-99,-99,-99,-99,-99,-99,-99,3.07,2.76,6.38,4.28,6.13,3.06,2.58,3.81,3.51,4.07,-99,-99,-99
cockroach,9,2,-99,0.46953,1.951133,-99,3.411765,1,0,2,4.95,6.43,6.65,6.82,2.34,2.86,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.75,0.060606,2.224196
coma,4,2,-99,2.537463,20.435548,-99,12.27451,1,0,1.33,5.16,4.83,5.73,5.93,3.33,5.33,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.861111,0,3.411673
combative,9,3,-99,1.108891,-99,-99,0.529412,0,1,-99,-99,-99,-99,-99,-99,-99,2.6,5.21,5.44,4.4,5.11,1.79,3.12,2.13,2.42,4.22,-99,-99,-99
comical,7,3,-99,1.398601,-99,-99,0.823529,0,1,-99,-99,-99,-99,-99,-99,-99,5.42,2.66,5.93,4.84,6.63,5.31,3.53,6.54,6.59,3.9,-99,-99,-99
compliant,9,3,-99,1.508492,-99,-99,0.156863,0,1,-99,-99,-99,-99,-99,-99,-99,3.97,3.78,2.58,4.83,5.1,3.31,3.38,4.21,4.57,3.99,-99,-99,-99
conforming,10,3,-99,1.228771,-99,-99,0.196078,0,1,-99,-99,-99,-99,-99,-99,-99,3,3.83,5.79,4.38,6.69,4.19,3.06,2.57,2.07,3.48,-99,-99,-99
cool-headed,11,3,-99,0.08991,-99,-99,-99,0,1,-99,-99,-99,-99,-99,-99,-99,5.39,2.21,4.67,3.63,4.63,2.83,2.35,5.76,6.14,6.13,-99,-99,-99
crabby,6,2,-99,0.11988,1.232294,-99,0.921569,0,1,-99,-99,-99,-99,-99,-99,-99,2.32,5.63,6.28,3.61,6.93,2.46,4.51,1.69,1.31,4.78,-99,-99,-99
criticised,10,3,-99,13.076923,-99,-99,0.215686,0,1,-99,-99,-99,-99,-99,-99,-99,2.06,5.51,4.5,4.19,6.32,5.28,4.53,2.53,2,2.76,-99,-99,-99
