"word","freq_BNC","valence","researcher_remove","condition"
"new",1250.809191,4.71,"","+"
"old",545.524476,3.9,"","-"
"little",480.529471,3.81,"","-"
"high",388.861139,3.7,"","-"
"young",335.754246,4.55,"","+"
"black",248.721279,3.69,"","-"
"white",245.294705,3.73,"","-"
"future",226.263736,4.93,"","+"
"present",222.897103,4.94,"","+"
"close",213.576424,4.83,"","+"
"total",175.494505,4.66,"","+"
"forward",151.838162,4.09,"","+"
"red",151.158841,3.8,"","-"
"green",146.173826,4.75,"","+"
"natural",143.006993,4.89,"","+"
"simple",139.63037,4.71,"","+"
"normal",124.385614,4.72,"","+"
"serious",123.896104,4.48,"","+"
"firm",122.377622,4.63,"","+"
"direct",118.471528,4.67,"","+"
"deep",106.883117,4.5,"","+"
"popular",105.894106,4.39,"","+"
"blue",104.615385,3.7,"","-"
"traditional",98.671329,4.17,"","+"
"practical",77.532468,4.77,"","+"
"powerful",72.057942,4.53,"","+"
"conservative",71.028971,3.92,"","-"
"ordinary",69.060939,3.79,"","-"
"rich",68.971029,4.89,"","+"
"famous",65.344655,4.17,"","+"
"formal",64.295704,5.04,"","+"
"quiet",64.105894,4,"","+"
"soft",61.388611,4.22,"","+"
"quick",60.519481,4.8,"","+"
"scientific",59.140859,4.22,"","+"
"wild",55.194805,3.8,"","-"
"surprised",53.746254,4.32,"","+"
"careful",52.127872,4.51,"","+"
"adult",50.709291,5.03,"","+"
"plenty",49.120879,4.82,"","+"
"objective",46.303696,4.08,"","+"
"frank",43.066933,4.26,"","+"
"radical",40.41958,3.92,"","-"
"conventional",39.230769,4.04,"","+"
"silent",37.942058,3.82,"","-"
"keen",37.732268,4.59,"","+"
"sensitive",36.323676,4.62,"","+"
"rapid",36.003996,3.92,"","-"
"adequate",35.674326,4.4,"","+"
"literary",33.816184,4.7,"","+"
"pink",33.516484,4.28,"","+"
"tough",32.437562,4.86,"","+"
"dominant",30.569431,3.72,"","-"
"steady",28.921079,4.85,"","+"
"precise",28.891109,4.34,"","+"
"silly",28.251748,5.03,"","+"
"protected",26.053946,4.87,"","+"
"innocent",25.584416,4.51,"","+"
"loud",24.755245,4,"","+"
"informal",24.015984,3.95,"","-"
"dutch",23.796204,3.76,"","-"
"intense",23.446553,4.13,"","+"
"rational",23.406593,4.66,"","+"
"logical",23.126873,4.71,"","+"
"superior",22.477522,4.01,"","+"
"resident",21.078921,3.86,"","-"
"naked",20.46953,3.71,"","-"
"diplomatic",20,4.57,"","+"
