"word","valence_condition","set","run","seed"
"positive","+",2,1,689
"patient","+",2,1,689
"active","+",2,1,689
"bright","+",2,1,689
"capable","+",2,1,689
"sweet","+",2,1,689
"consistent","+",2,1,689
"pleasant","+",2,1,689
"modest","+",2,1,689
"mature","+",2,1,689
"smart","+",2,1,689
"competent","+",2,1,689
"cheerful","+",2,1,689
"ethical","+",2,1,689
"innovative","+",2,1,689
"jolly","+",2,1,689
"hopeful","+",2,1,689
"outgoing","+",2,1,689
"dignified","+",2,1,689
"knowledgeable","+",2,1,689
"perceptive","+",2,1,689
"attentive","+",2,1,689
"adaptable","+",2,1,689
"forgiving","+",2,1,689
"artistic","+",2,1,689
"daring","+",2,1,689
"terrible","-",2,1,689
"guilty","-",2,1,689
"sad","-",2,1,689
"boring","-",2,1,689
"hostile","-",2,1,689
"rude","-",2,1,689
"ignorant","-",2,1,689
"ruthless","-",2,1,689
"careless","-",2,1,689
"discouraged","-",2,1,689
"irresponsible","-",2,1,689
"dishonest","-",2,1,689
"self-conscious","-",2,1,689
"dreary","-",2,1,689
"pompous","-",2,1,689
"unproductive","-",2,1,689
"sloppy","-",2,1,689
"envious","-",2,1,689
"cowardly","-",2,1,689
"obnoxious","-",2,1,689
"intolerant","-",2,1,689
"bossy","-",2,1,689
"lethargic","-",2,1,689
"wasteful","-",2,1,689
"good-natured","+",2,1,689
"proficient","+",2,1,689
"self-disciplined","+",2,1,689
"comical","+",2,1,689
"hesitant","-",2,1,689
"suspicious","-",2,1,689
"mediocre","-",2,1,689
"childish","-",2,1,689
"brooding","-",2,1,689
"fickle","-",2,1,689
"kind","+",2,2,689
"responsible","+",2,2,689
"healthy","+",2,2,689
"confident","+",2,2,689
"calm","+",2,2,689
"grateful","+",2,2,689
"creative","+",2,2,689
"sophisticated","+",2,2,689
"reliable","+",2,2,689
"wise","+",2,2,689
"productive","+",2,2,689
"respectable","+",2,2,689
"decisive","+",2,2,689
"polite","+",2,2,689
"thorough","+",2,2,689
"talented","+",2,2,689
"humble","+",2,2,689
"energetic","+",2,2,689
"thoughtful","+",2,2,689
"sincere","+",2,2,689
"humorous","+",2,2,689
"courageous","+",2,2,689
"courteous","+",2,2,689
"joyful","+",2,2,689
"considerate","+",2,2,689
"truthful","+",2,2,689
"fearless","+",2,2,689
"trustworthy","+",2,2,689
"glorious","+",2,2,689
"controlling","-",2,2,689
"unhappy","-",2,2,689
"dull","-",2,2,689
"harsh","-",2,2,689
"dreadful","-",2,2,689
"cruel","-",2,2,689
"wicked","-",2,2,689
"rotten","-",2,2,689
"selfish","-",2,2,689
"gloomy","-",2,2,689
"inefficient","-",2,2,689
"reckless","-",2,2,689
"irrational","-",2,2,689
"annoying","-",2,2,689
"unfriendly","-",2,2,689
"unruly","-",2,2,689
"grumpy","-",2,2,689
"bad","-",2,2,689
"moody","-",2,2,689
"stupid","-",2,2,689
"dependable","+",2,2,689
"stubborn","-",2,2,689
"defensive","-",2,2,689
"combative","-",2,2,689
"indecisive","-",2,2,689
"unreasonable","-",2,2,689
"demanding","-",2,2,689
"devious","-",2,2,689
"awkward","-",2,2,689
"disdainful","-",2,2,689
"insincere","-",2,2,689
"happy","+",1,3,689
"friendly","+",1,3,689
"nice","+",1,3,689
"outstanding","+",1,3,689
"understanding","+",1,3,689
"strong","+",1,3,689
"moral","+",1,3,689
"efficient","+",1,3,689
"organized","+",1,3,689
"clever","+",1,3,689
"gentle","+",1,3,689
"lucky","+",1,3,689
"mighty","+",1,3,689
"lively","+",1,3,689
"amusing","+",1,3,689
"charitable","+",1,3,689
"terrific","+",1,3,689
"elegant","+",1,3,689
"ambitious","+",1,3,689
"versatile","+",1,3,689
"optimistic","+",1,3,689
"enthusiastic","+",1,3,689
"charming","+",1,3,689
"adventurous","+",1,3,689
"purposeful","+",1,3,689
"inventive","+",1,3,689
"observant","+",1,3,689
"communicative","+",1,3,689
"affectionate","+",1,3,689
"sociable","+",1,3,689
"mean","-",1,3,689
"foolish","-",1,3,689
"withdrawn","-",1,3,689
"disturbed","-",1,3,689
"bitter","-",1,3,689
"troubled","-",1,3,689
"awful","-",1,3,689
"offensive","-",1,3,689
"useless","-",1,3,689
"unpleasant","-",1,3,689
"rejected","-",1,3,689
"immoral","-",1,3,689
"vicious","-",1,3,689
"cynical","-",1,3,689
"timid","-",1,3,689
"unpopular","-",1,3,689
"lazy","-",1,3,689
"unwise","-",1,3,689
"fearful","-",1,3,689
"jealous","-",1,3,689
"messy","-",1,3,689
"thoughtless","-",1,3,689
"unhealthy","-",1,3,689
"unkind","-",1,3,689
"compulsive","-",1,3,689
"disobedient","-",1,3,689
"unethical","-",1,3,689
"prejudiced","-",1,3,689
"absent-minded","-",1,3,689
"materialistic","-",1,3,689
"fun","+",1,4,689
"generous","+",1,4,689
"brilliant","+",1,4,689
"honest","+",1,4,689
"devoted","+",1,4,689
"composed","+",1,4,689
"helpful","+",1,4,689
"warm","+",1,4,689
"entertaining","+",1,4,689
"intelligent","+",1,4,689
"skilled","+",1,4,689
"cooperative","+",1,4,689
"admired","+",1,4,689
"loyal","+",1,4,689
"brave","+",1,4,689
"expressive","+",1,4,689
"sympathetic","+",1,4,689
"respectful","+",1,4,689
"admirable","+",1,4,689
"trusting","+",1,4,689
"self-confident","+",1,4,689
"playful","+",1,4,689
"compassionate","+",1,4,689
"gracious","+",1,4,689
"humane","+",1,4,689
"selfless","+",1,4,689
"witty","+",1,4,689
"diligent","+",1,4,689
"down-to-earth","+",1,4,689
"agreeable","+",1,4,689
"shallow","-",1,4,689
"weak","-",1,4,689
"aggressive","-",1,4,689
"lonely","-",1,4,689
"toxic","-",1,4,689
"detached","-",1,4,689
"inadequate","-",1,4,689
"nasty","-",1,4,689
"violent","-",1,4,689
"helpless","-",1,4,689
"greedy","-",1,4,689
"insecure","-",1,4,689
"feeble","-",1,4,689
"troublesome","-",1,4,689
"unreliable","-",1,4,689
"hopeless","-",1,4,689
"insensitive","-",1,4,689
"superficial","-",1,4,689
"stern","-",1,4,689
"unsophisticated","-",1,4,689
"uninspiring","-",1,4,689
"untrustworthy","-",1,4,689
"disagreeable","-",1,4,689
"unsympathetic","-",1,4,689
"resentful","-",1,4,689
"manipulative","-",1,4,689
"deceptive","-",1,4,689
"self-critical","-",1,4,689
"uninteresting","-",1,4,689
"conceited","-",1,4,689
