"word","valence_condition","set","run","seed"
"boring","negative",1,1,18
"wicked","negative",1,1,18
"rejected","negative",1,1,18
"depressed","negative",1,1,18
"harsh","negative",1,1,18
"hostile","negative",1,1,18
"angry","negative",1,1,18
"lonely","negative",1,1,18
"disturbed","negative",1,1,18
"troubled","negative",1,1,18
"ugly","negative",1,1,18
"annoying","negative",1,1,18
"helpless","negative",1,1,18
"incompetent","negative",1,1,18
"reckless","negative",1,1,18
"careless","negative",1,1,18
"irresponsible","negative",1,1,18
"hopeless","negative",1,1,18
"irritating","negative",1,1,18
"unskilled","negative",1,1,18
"ruthless","negative",1,1,18
"sour","negative",1,1,18
"untidy","negative",1,1,18
"envious","negative",1,1,18
"anguished","negative",1,1,18
"deceptive","negative",1,1,18
"morbid","negative",1,1,18
"unfaithful","negative",1,1,18
"possessive","negative",1,1,18
"impractical","negative",1,1,18
"interesting","positive",1,1,18
"happy","positive",1,1,18
"social","positive",1,1,18
"proud","positive",1,1,18
"lucky","positive",1,1,18
"active","positive",1,1,18
"warm","positive",1,1,18
"satisfied","positive",1,1,18
"productive","positive",1,1,18
"smart","positive",1,1,18
"reliable","positive",1,1,18
"engaged","positive",1,1,18
"precious","positive",1,1,18
"devoted","positive",1,1,18
"curious","positive",1,1,18
"handsome","positive",1,1,18
"grateful","positive",1,1,18
"thorough","positive",1,1,18
"competent","positive",1,1,18
"versatile","positive",1,1,18
"polite","positive",1,1,18
"expressive","positive",1,1,18
"humble","positive",1,1,18
"mighty","positive",1,1,18
"terrific","positive",1,1,18
"hopeful","positive",1,1,18
"ethical","positive",1,1,18
"orderly","positive",1,1,18
"entertaining","positive",1,1,18
"decisive","positive",1,1,18
"shallow","negative",1,2,18
"mean","negative",1,2,18
"stupid","negative",1,2,18
"vicious","negative",1,2,18
"bitter","negative",1,2,18
"inadequate","negative",1,2,18
"sad","negative",1,2,18
"foul","negative",1,2,18
"detached","negative",1,2,18
"selfish","negative",1,2,18
"inconsistent","negative",1,2,18
"unwise","negative",1,2,18
"lazy","negative",1,2,18
"unjust","negative",1,2,18
"unreliable","negative",1,2,18
"dishonest","negative",1,2,18
"pessimistic","negative",1,2,18
"moody","negative",1,2,18
"self-conscious","negative",1,2,18
"resentful","negative",1,2,18
"unhealthy","negative",1,2,18
"sloppy","negative",1,2,18
"ungrateful","negative",1,2,18
"heartless","negative",1,2,18
"unfriendly","negative",1,2,18
"abusing","negative",1,2,18
"abusive","negative",1,2,18
"unruly","negative",1,2,18
"lifeless","negative",1,2,18
"dreary","negative",1,2,18
"fun","positive",1,2,18
"friendly","positive",1,2,18
"positive","positive",1,2,18
"capable","positive",1,2,18
"secure","positive",1,2,18
"experienced","positive",1,2,18
"sweet","positive",1,2,18
"loved","positive",1,2,18
"confident","positive",1,2,18
"perfect","positive",1,2,18
"efficient","positive",1,2,18
"useful","positive",1,2,18
"honest","positive",1,2,18
"creative","positive",1,2,18
"brave","positive",1,2,18
"ambitious","positive",1,2,18
"clever","positive",1,2,18
"pleasant","positive",1,2,18
"peaceful","positive",1,2,18
"accurate","positive",1,2,18
"organized","positive",1,2,18
"flexible","positive",1,2,18
"sensible","positive",1,2,18
"imaginative","positive",1,2,18
"talented","positive",1,2,18
"optimistic","positive",1,2,18
"charitable","positive",1,2,18
"amusing","positive",1,2,18
"cooperative","positive",1,2,18
"fashionable","positive",1,2,18
"bad","negative",2,3,18
"guilty","negative",2,3,18
"evil","negative",2,3,18
"controlling","negative",2,3,18
"unhappy","negative",2,3,18
"dull","negative",2,3,18
"dreadful","negative",2,3,18
"cruel","negative",2,3,18
"toxic","negative",2,3,18
"petty","negative",2,3,18
"rotten","negative",2,3,18
"ignorant","negative",2,3,18
"fearful","negative",2,3,18
"corrupt","negative",2,3,18
"inefficient","negative",2,3,18
"irrational","negative",2,3,18
"volatile","negative",2,3,18
"discouraged","negative",2,3,18
"immature","negative",2,3,18
"insane","negative",2,3,18
"vain","negative",2,3,18
"negligent","negative",2,3,18
"irritable","negative",2,3,18
"insensitive","negative",2,3,18
"sluggish","negative",2,3,18
"unproductive","negative",2,3,18
"sinful","negative",2,3,18
"unsympathetic","negative",2,3,18
"obnoxious","negative",2,3,18
"vindictive","negative",2,3,18
"good","positive",2,3,18
"able","positive",2,3,18
"kind","positive",2,3,18
"nice","positive",2,3,18
"independent","positive",2,3,18
"understanding","positive",2,3,18
"responsible","positive",2,3,18
"beautiful","positive",2,3,18
"patient","positive",2,3,18
"bright","positive",2,3,18
"healthy","positive",2,3,18
"brilliant","positive",2,3,18
"outstanding","positive",2,3,18
"calm","positive",2,3,18
"wise","positive",2,3,18
"composed","positive",2,3,18
"intelligent","positive",2,3,18
"skilled","positive",2,3,18
"sympathetic","positive",2,3,18
"lively","positive",2,3,18
"enthusiastic","positive",2,3,18
"tidy","positive",2,3,18
"faithful","positive",2,3,18
"sunny","positive",2,3,18
"jolly","positive",2,3,18
"prompt","positive",2,3,18
"energetic","positive",2,3,18
"thoughtful","positive",2,3,18
"merry","positive",2,3,18
"sincere","positive",2,3,18
"cold","negative",2,4,18
"terrible","negative",2,4,18
"weak","negative",2,4,18
"awful","negative",2,4,18
"violent","negative",2,4,18
"nasty","negative",2,4,18
"withdrawn","negative",2,4,18
"offensive","negative",2,4,18
"useless","negative",2,4,18
"unpleasant","negative",2,4,18
"rude","negative",2,4,18
"cynical","negative",2,4,18
"gloomy","negative",2,4,18
"arrogant","negative",2,4,18
"bland","negative",2,4,18
"tortured","negative",2,4,18
"greedy","negative",2,4,18
"flawed","negative",2,4,18
"malicious","negative",2,4,18
"immoral","negative",2,4,18
"wasteful","negative",2,4,18
"smug","negative",2,4,18
"prejudiced","negative",2,4,18
"unkind","negative",2,4,18
"tiresome","negative",2,4,18
"antagonistic","negative",2,4,18
"manipulative","negative",2,4,18
"cowardly","negative",2,4,18
"spiteful","negative",2,4,18
"intolerant","negative",2,4,18
"open","positive",2,4,18
"strong","positive",2,4,18
"original","positive",2,4,18
"fair","positive",2,4,18
"pretty","positive",2,4,18
"reasonable","positive",2,4,18
"helpful","positive",2,4,18
"consistent","positive",2,4,18
"intellectual","positive",2,4,18
"gentle","positive",2,4,18
"sophisticated","positive",2,4,18
"generous","positive",2,4,18
"modest","positive",2,4,18
"romantic","positive",2,4,18
"mature","positive",2,4,18
"elegant","positive",2,4,18
"neat","positive",2,4,18
"tender","positive",2,4,18
"charming","positive",2,4,18
"loyal","positive",2,4,18
"respectable","positive",2,4,18
"cheerful","positive",2,4,18
"glorious","positive",2,4,18
"innovative","positive",2,4,18
"daring","positive",2,4,18
"outgoing","positive",2,4,18
"triumphant","positive",2,4,18
"youthful","positive",2,4,18
"admirable","positive",2,4,18
"disciplined","positive",2,4,18
